col.name,var.class,uniqueness,requiredness,allowedvalues,description,,,,,,,,,,,,dataset_name,
dataset_name,character,non-unique,required,*,name of study,,,,,,,,,,,,2,sampleID
sampleID,character,unique,required,*,unique sample identifier,,,,,,,,,,,,3,subjectID
subjectID,character,non-unique,optional,*,subject identifier,,,,,,,,,,,,4,body_site
body_site,character,non-unique,optional,TI|rectum|stool,,,,,,,,,,,,,5,antibiotics_current_use
antibiotics_usage,character,non-unique,optional,y|n,whether or not the subject was under antibiotics treatment,,,,,,,,,,,,6,study_condition
disease,character,non-unique,optional,CD|UC|control,Disease types,,,,,,,,,,,,8,age
age,numeric,non-unique,optional,*,Age (in yrs),,,,,,,,,,,,9,infant_age
gender,character,non-unique,optional,m|f,male or female,,,,,,,,,,,,12,country
country,character,non-unique,optional,*,,,,,,,,,,,,,13,non_westernized
sequencing_platform,character,non-unique,optional,*,,,,,,,,,,,,,15,DNA_extraction_kit
DNA_extraction_kit,character,non-unique,optional,Gnome|Illuminakit|MoBio|NorgenBiotek|Qiagen,recurrence censoring variable,,,,,,,,,,,,16,PMID
PMID,character,non-unique,optional,*,,,,,,,,,,,,,17,number_reads
number_reads,integer,non-unique,optional,*,,,,,,,,,,,,,18,number_bases
number_bases,integer,non-unique,optional,*,,,,,,,,,,,,,19,minimum_read_length
minimum_read_length,integer,non-unique,optional,*,,,,,,,,,,,,,20,median_read_length
median_read_length,integer,non-unique,optional,*,,,,,,,,,,,,,21,pregnant
NCBI_accession,character,unique,optional,*,,,,,,,,,,,,,24,BMI
BMI,numeric,non-unique,optional,*,,,,,,,,,,,,,25,antibiotics_family
antibiotics_family,character,non-unique,optional,,,,,,,,,,,,,,26,momeducat
alcohol,character,non-unique,optional,y|n,,,,,,,,,,,,,28,flg-genotype
disease_subtype,character,non-unique,optional,,,,,,,,,,,,,,30,hdl
smoker,character,non-unique,optional,y|n,,,,,,,,,,,,,72,ever_smoker
ever_smoker,character,non-unique,optional,y|n,,,,,,,,,,,,,73,birth_control_pil
