hutlab11_nobackup	hutlab11	link	url	size	study
/n/hutlab11_nobackup/users/syma/ibd_meta_analysis/processed/BIDMC-FMT/16s/all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/data/ibd_meta_analysis/BIDMC-FMT_all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/www/huttenhower.sph.harvard.edu/drupal-7.35/ibd_meta_analysis/BIDMC-FMT_all_samples_concatenated_filtered_truncated.fasta	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/BIDMC-FMT_all_samples_concatenated_filtered_truncated.fasta	176M	BIDMC-FMT
/n/hutlab11_nobackup/users/syma/ibd_meta_analysis/processed/CS-PRISM/16s/all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/data/ibd_meta_analysis/CS-PRISM_all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/www/huttenhower.sph.harvard.edu/drupal-7.35/ibd_meta_analysis/CS-PRISM_all_samples_concatenated_filtered_truncated.fasta	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/CS-PRISM_all_samples_concatenated_filtered_truncated.fasta	4.4G	CS-PRISM
/n/hutlab11_nobackup/users/syma/ibd_meta_analysis/processed/Herfarth_CCFA_Microbiome_3B_combined/16s/all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/data/ibd_meta_analysis/Herfarth_CCFA_Microbiome_3B_combined_all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/www/huttenhower.sph.harvard.edu/drupal-7.35/ibd_meta_analysis/Herfarth_CCFA_Microbiome_3B_combined_all_samples_concatenated_filtered_truncated.fasta	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/Herfarth_CCFA_Microbiome_3B_combined_all_samples_concatenated_filtered_truncated.fasta	6.1G	Herfarth_CCFA_Microbiome_3B_combined
/n/hutlab11_nobackup/users/syma/ibd_meta_analysis/processed/HMP2/16s/all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/data/ibd_meta_analysis/HMP2_all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/www/huttenhower.sph.harvard.edu/drupal-7.35/ibd_meta_analysis/HMP2_all_samples_concatenated_filtered_truncated.fasta	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/HMP2_all_samples_concatenated_filtered_truncated.fasta	1.2G	HMP2
/n/hutlab11_nobackup/users/syma/ibd_meta_analysis/processed/Jansson_Lamendella_Crohns/16s/all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/data/ibd_meta_analysis/Jansson_Lamendella_Crohns_all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/www/huttenhower.sph.harvard.edu/drupal-7.35/ibd_meta_analysis/Jansson_Lamendella_Crohns_all_samples_concatenated_filtered_truncated.fasta	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/Jansson_Lamendella_Crohns_all_samples_concatenated_filtered_truncated.fasta	15G	Jansson_Lamendella_Crohns
/n/hutlab11_nobackup/users/syma/ibd_meta_analysis/processed/LSS-PRISM/16s/all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/data/ibd_meta_analysis/LSS-PRISM_all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/www/huttenhower.sph.harvard.edu/drupal-7.35/ibd_meta_analysis/LSS-PRISM_all_samples_concatenated_filtered_truncated.fasta	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/LSS-PRISM_all_samples_concatenated_filtered_truncated.fasta	920M	LSS-PRISM
/n/hutlab11_nobackup/users/syma/ibd_meta_analysis/processed/MucosalIBD/16s/all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/data/ibd_meta_analysis/MucosalIBD_all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/www/huttenhower.sph.harvard.edu/drupal-7.35/ibd_meta_analysis/MucosalIBD_all_samples_concatenated_filtered_truncated.fasta	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/MucosalIBD_all_samples_concatenated_filtered_truncated.fasta	5.8G	MucosalIBD
/n/hutlab11_nobackup/users/syma/ibd_meta_analysis/processed/Pouchitis/16s/all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/data/ibd_meta_analysis/Pouchitis_all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/www/huttenhower.sph.harvard.edu/drupal-7.35/ibd_meta_analysis/Pouchitis_all_samples_concatenated_filtered_truncated.fasta	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/Pouchitis_all_samples_concatenated_filtered_truncated.fasta	1.1G	Pouchitis
/n/hutlab11_nobackup/users/syma/ibd_meta_analysis/processed/PROTECT/16s/all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/data/ibd_meta_analysis/PROTECT_all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/www/huttenhower.sph.harvard.edu/drupal-7.35/ibd_meta_analysis/PROTECT_all_samples_concatenated_filtered_truncated.fasta	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/PROTECT_all_samples_concatenated_filtered_truncated.fasta	15G	PROTECT
/n/hutlab11_nobackup/users/syma/ibd_meta_analysis/processed/RISK/16s/all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/data/ibd_meta_analysis/RISK_all_samples_concatenated_filtered_truncated.fasta	/n/hutlab11/www/huttenhower.sph.harvard.edu/drupal-7.35/ibd_meta_analysis/RISK_all_samples_concatenated_filtered_truncated.fasta	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/RISK_all_samples_concatenated_filtered_truncated.fasta	12G	RISK
