# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
215010	42833	40127	471
206561	18455	17597	149
206563	37961	34501	567
206562	33369	30041	414
206564	12877	4834	606
206569	52410	49582	336
206648	46173	38762	683
206712	52588	48631	928
206713	50457	47163	1034
206710	47706	45593	457
206711	60937	57351	471
206640	40147	32069	1562
206643	43610	34302	2556
206644	20485	15762	1336
206645	2595	1427	141
206646	56274	51032	2376
206647	55705	51044	295
206738	40824	37495	412
215023	60702	57530	225
224326	73967	69080	781
219693	19453	15775	287
219692	571	325	28
219691	36018	31576	1084
206657	52611	40010	10731
206656	4476	3509	167
206655	11459	4782	945
206659	36320	30727	508
206658	42061	31722	6103
224330	50722	48021	253
206704	51279	46586	1565
206701	26546	15920	622
206700	78295	74086	88
206703	45866	41492	1751
206702	40250	35032	425
206709	44935	43638	261
206708	43798	42029	162
206677	20953	15014	577
206622	15508	13678	148
206623	593	504	3
206620	316	174	5
206621	193	84	0
206626	945	548	20
206627	163	104	3
206624	1921	1742	22
206625	3926	3311	220
206628	2922	838	184
206629	16875	10158	666
206547	33317	28882	389
206730	19796	16396	185
206731	57667	54927	230
206732	55050	52058	252
206733	65813	63199	160
206734	71697	68569	145
206695	9697	2288	553
224328	60569	57880	448
224327	59098	55488	636
206739	62687	58034	449
224325	60468	57382	793
224324	56224	53446	130
224323	45309	43525	104
219668	11944	1604	802
219669	55488	50966	495
219659	4683	4427	48
206673	39582	34298	656
214994	35343	33748	124
206741	54427	50258	492
215048	24608	21003	713
215049	2525	862	186
206740	38362	35164	358
206743	54240	48300	2071
224844	27448	22886	570
224845	50066	46442	390
206630	20844	15375	836
219654	35387	32429	539
206635	52519	50005	128
206637	5308	3500	85
206636	1305	1120	54
206639	52130	45841	1141
206638	31284	26915	499
219675	38060	36096	50
219676	47795	45497	86
206747	42830	41042	141
206538	19938	16772	630
206728	64525	58235	1805
206536	36709	32848	654
206726	62233	57399	1208
206725	62195	58025	992
206724	56251	52701	150
206723	254	157	2
206721	63542	58706	1660
206720	64211	59687	1524
215058	34379	29677	668
215050	54500	50582	454
215055	43807	41288	450
215057	58953	55337	925
215056	36955	34262	310
206608	34899	29940	1681
206609	26053	21354	1209
206604	22640	19608	544
206605	29801	28042	266
206603	55825	53642	87
206684	53278	46217	3799
206758	70977	67409	84
219643	41144	38026	844
219644	50840	46780	292
219645	52043	46297	3175
206682	5737	1001	290
206683	52366	43694	4536
206752	64939	58305	3540
206753	65070	59117	1749
206750	70369	65598	496
206751	64618	61288	423
206756	59259	55144	1098
206757	66931	63561	69
206754	57546	52542	318
206681	4501	3606	46
215067	51046	47619	192
215061	32156	29149	303
215062	28808	24542	877
206570	63045	60202	418
222170	15722	14019	223
222171	27536	24597	444
206719	50080	47543	161
206619	7355	6216	41
206618	5349	3105	103
206617	8758	3155	325
206616	276	189	1
206615	22394	12404	1137
206614	11642	4221	995
206718	37512	35828	97
214995	43259	39326	299
219658	2167	2039	0
219657	39520	37148	310
219656	25767	21025	668
219655	46469	43958	529
206742	64151	59380	1054
219653	43204	39011	807
219652	50281	47081	460
219651	57311	52538	824
206746	56781	54398	271
215077	47398	44958	307
215076	41346	39258	308
215075	47145	45345	337
215074	17843	15688	367
206755	69012	64226	1203
219646	45291	39351	2883
206770	62958	59305	162
206668	3155	1497	127
206669	287	186	17
206667	26789	23801	694
206660	54028	51477	300
219670	37380	33313	507
206729	39140	33941	313
215084	15341	12772	817
215085	17772	9741	894
215080	53072	47979	941
215007	41275	36506	1141
215004	7999	1238	687
206548	16544	12064	354
215003	14150	8624	716
206534	41880	38882	385
215008	21620	16930	885
215009	51134	48341	463
206572	32194	29755	273
206762	40203	37666	148
206761	58297	55599	73
206571	31902	29565	281
206767	31349	25589	260
206766	60876	58401	197
206769	8597	1193	322
206768	12573	5118	567
206670	56541	53441	509
219638	32357	31309	44
206727	64327	58843	1509
206678	28107	18191	1119
206675	21255	8432	1373
206674	51020	46059	528
219633	33942	30211	574
206676	21148	12490	767
206671	35484	30754	215
219634	31332	26142	802
219637	352	178	8
206672	29518	23040	403
