# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
ERR2172733	67525	61637	1870
ERR2172732	70008	64698	1706
ERR2172731	174847	162255	4280
ERR2172730	71527	66618	1800
ERR2172737	84589	78334	2403
ERR2172736	68779	62433	1763
ERR2172735	89423	82754	2322
ERR2172734	65930	60663	2028
ERR2172632	150426	134480	4687
ERR2172633	134369	117728	5551
ERR2172739	78863	72052	1963
ERR2172738	70837	65426	2017
ERR2172636	174035	154790	5818
ERR2172638	117939	105053	4181
ERR2172634	80176	71869	1934
ERR2172635	132555	116652	4403
ERR2172639	104017	93630	3250
ERR2172990	27392	25337	1009
ERR2173284	38	25	9
ERR2173285	4	1	2
ERR2173286	70	23	15
ERR2173287	148	130	5
ERR2173280	8117	5219	1249
ERR2173281	12466	11873	270
ERR2173282	7717	7492	84
ERR2173283	9346	9006	96
ERR2173288	63	58	4
ERR2173289	48	42	4
ERR2172898	4	3	1
ERR2172649	118196	104209	4529
ERR2172648	13	6	5
ERR2172647	117762	103053	4900
ERR2172646	234189	209185	7578
ERR2172645	12	11	1
ERR2172644	108625	97930	3240
ERR2172643	102150	90662	3416
ERR2172642	160665	142230	5813
ERR2172641	115979	103823	3732
ERR2172640	124323	109391	4899
ERR2172631	171391	150988	6852
ERR2172472	81790	75897	1899
ERR2172637	148191	132497	4747
ERR2172473	89546	81081	3990
ERR2172996	13143	12043	444
ERR2173213	13597	13006	224
ERR2173212	13003	12588	202
ERR2173211	15892	15426	162
ERR2173210	13541	12988	209
ERR2173217	13533	12986	192
ERR2173216	14549	13999	201
ERR2173215	10490	10165	130
ERR2173214	13222	12770	166
ERR2173219	14991	14375	226
ERR2173218	9698	9282	176
ERR2173060	12044	10647	565
ERR2172940	14672	13979	204
ERR2172941	12775	11872	240
ERR2172942	13760	12762	220
ERR2172943	11994	11141	240
ERR2172944	22063	20715	453
ERR2172945	19823	18435	456
ERR2172946	14558	13176	511
ERR2172947	28	0	3
ERR2172948	14078	13197	320
ERR2172949	8615	8363	74
ERR2172861	168879	151657	3880
ERR2172860	142526	129603	3302
ERR2172867	58	46	5
ERR2172866	171205	154788	4264
ERR2172865	169399	156370	3435
ERR2172864	112702	101559	2802
ERR2172363	93116	84046	2830
ERR2172600	61394	55383	1580
ERR2173119	10102	5797	3426
ERR2172459	117494	107672	3799
ERR2172868	95425	87855	1864
ERR2172951	21493	19527	831
ERR2172950	6453	6153	97
ERR2172899	26924	24579	818
ERR2173241	3233	1637	689
ERR2172609	161838	145123	5320
ERR2172608	117	104	7
ERR2173140	8	3	4
ERR2172959	12820	11745	340
ERR2172958	16470	415	12277
ERR2172597	53998	48329	745
ERR2172596	76011	69931	1768
ERR2173105	21000	19591	674
ERR2173104	15548	14607	416
ERR2173103	8790	2985	3113
ERR2173102	18594	17285	632
ERR2173101	28519	26444	918
ERR2173100	15416	14289	545
ERR2172456	111756	103681	2428
ERR2172457	73276	67864	1891
ERR2172454	150401	139596	3869
ERR2172455	49873	46172	659
ERR2172452	70326	62455	1895
ERR2172453	349722	313524	11602
ERR2173109	38097	34908	1490
ERR2173108	26017	24258	717
ERR2172599	74427	68322	1967
ERR2172355	85593	78394	2120
ERR2172357	72090	65444	1913
ERR2172356	171909	154425	4747
ERR2172359	84956	76936	2338
ERR2172358	215036	194825	5334
ERR2173086	5	0	2
ERR2173087	8760	7906	223
ERR2173084	31009	27025	1391
ERR2173085	1	0	0
ERR2173082	6	2	3
ERR2173083	6699	128	4993
ERR2173080	13451	12215	222
ERR2173081	12423	11946	182
ERR2172571	8916	8186	273
ERR2172570	60449	54577	2351
ERR2172573	39984	36047	1530
ERR2172572	151143	138070	4186
ERR2172575	98765	90151	3210
ERR2172574	2947	47	783
ERR2173088	2	0	0
ERR2173089	18538	16522	517
ERR2172550	106507	96756	4006
ERR2173079	26098	15844	7779
ERR2173078	25263	18455	3489
ERR2173073	16920	15462	381
ERR2172682	96727	88676	2119
ERR2173071	12727	10545	290
ERR2173070	11680	10895	226
ERR2173077	9475	8969	123
ERR2173076	24105	21911	464
ERR2173075	11333	10588	172
ERR2173074	9996	9258	260
ERR2173172	30380	25447	3246
ERR2173173	14344	12251	1408
ERR2173170	33033	28945	2315
ERR2173171	17948	10986	6229
ERR2173176	19830	8536	8015
ERR2173177	13331	12026	711
ERR2173174	19480	17936	815
ERR2173175	19819	16867	1940
ERR2173178	15216	8978	5707
ERR2173179	9943	9263	331
ERR2172559	28004	26054	577
ERR2172708	91171	83749	2362
ERR2172709	96341	88702	2665
ERR2173194	5274	5049	81
ERR2172702	33	26	6
ERR2172703	33690	31353	888
ERR2172700	91628	85447	2092
ERR2172701	41805	37514	1161
ERR2172706	121449	111314	3434
ERR2172707	82429	76687	2056
ERR2172704	105199	95634	3472
ERR2172705	88646	82212	2057
ERR2172991	37008	34343	1262
ERR2173259	1	1	0
ERR2173258	3917	3238	144
ERR2173257	2199	687	899
ERR2173256	81	72	7
ERR2173255	48	44	3
ERR2173254	6	0	4
ERR2173253	6	3	3
ERR2173252	9	1	4
ERR2173251	4	1	3
ERR2173250	5	2	3
ERR2172458	24349	12930	4559
ERR2172779	72312	64678	2836
ERR2172778	92697	84227	3204
ERR2172777	65983	61862	1264
ERR2172776	87798	79579	3122
ERR2172775	91150	84030	2617
ERR2172774	107416	99929	2431
ERR2172773	112419	104052	3061
ERR2172772	109674	101138	3188
ERR2172771	89588	81046	3974
ERR2172770	84119	75754	2801
ERR2172827	66448	61722	1474
ERR2172826	40353	37462	901
ERR2172825	57959	54240	1083
ERR2172824	85012	76262	3856
ERR2172823	23928	22816	227
ERR2172822	2	0	2
ERR2172821	76300	72266	934
ERR2172820	99670	90313	3150
ERR2172829	64029	60003	1092
ERR2172828	65909	60835	1659
ERR2173064	8284	7813	139
ERR2172695	77657	71933	2089
ERR2173066	10962	10272	193
ERR2173228	11	6	3
ERR2173229	10	1	8
ERR2173222	29	2	17
ERR2173223	1	0	1
ERR2173220	19462	18898	156
ERR2173221	22	7	12
ERR2173226	8943	194	7045
ERR2173227	9	1	8
ERR2173224	5	0	0
ERR2173225	16426	60	11134
ERR2172919	5894	5401	225
ERR2172918	7913	7154	390
ERR2173189	32474	29828	954
ERR2172913	31464	27948	1442
ERR2172912	18166	17010	581
ERR2172911	15178	13427	677
ERR2173188	19162	17063	1279
ERR2172917	11701	10315	591
ERR2172916	29892	26435	1252
ERR2172915	29278	25945	1442
ERR2172914	16920	15136	700
ERR2172852	198028	177574	9218
ERR2172853	58608	48844	4279
ERR2172850	113562	101251	4965
ERR2172851	78053	70672	2464
ERR2172856	130567	116976	5039
ERR2172857	178997	162162	4022
ERR2172854	161815	145974	6007
ERR2172855	109561	98465	4281
ERR2173019	35034	31780	1218
ERR2172858	132848	119747	3308
ERR2172859	88423	79482	2222
ERR2173185	20466	18148	1195
ERR2172910	14763	465	10067
ERR2173018	27568	24528	1189
ERR2173184	15092	13161	1259
ERR2172689	96422	89702	2254
ERR2172698	86092	77982	3146
ERR2173182	20269	18523	822
ERR2172984	28723	27090	697
ERR2172630	11	9	1
ERR2172985	13492	12613	466
ERR2173180	10804	9642	660
ERR2172986	14113	13063	615
ERR2172535	68532	61858	1452
ERR2172534	79	71	3
ERR2172537	216397	199458	5604
ERR2172536	79276	72612	1796
ERR2172531	62127	50083	2396
ERR2172530	108704	1881	36187
ERR2172533	31853	27677	1321
ERR2172532	37898	33848	551
ERR2172980	23931	22374	841
ERR2172539	113363	105058	2519
ERR2172538	16	0	16
ERR2172981	15853	14683	574
ERR2172982	7814	7224	272
ERR2172983	33720	31432	1002
ERR2173037	9230	8599	283
ERR2173036	19939	18802	418
ERR2173035	3	3	0
ERR2173034	9497	8611	301
ERR2173033	30240	28083	919
ERR2173032	8756	8109	287
ERR2173138	2	2	0
ERR2173139	12281	11471	350
ERR2173136	8791	8019	342
ERR2173137	15753	14626	421
ERR2173134	13156	12225	380
ERR2173135	17324	15972	481
ERR2173132	4	0	1
ERR2173133	6	0	4
ERR2173130	1	1	0
ERR2173131	20830	19110	753
ERR2172401	90787	84577	1747
ERR2172400	110815	101801	2777
ERR2172403	63005	56087	2080
ERR2172402	63270	58121	1469
ERR2172405	93274	85958	2092
ERR2172404	87089	44815	17479
ERR2172407	94177	86515	2142
ERR2172406	102122	94404	2886
ERR2172409	83552	76467	2028
ERR2172408	136919	126990	3677
ERR2173063	27113	24926	568
ERR2172746	40600	37217	1157
ERR2172747	43030	38650	1258
ERR2172744	56896	52469	1518
ERR2172745	56348	51687	1592
ERR2172742	71009	65624	1728
ERR2172743	66467	61024	1742
ERR2172740	74231	67848	2311
ERR2172741	41319	37549	1160
ERR2172621	240617	215439	8071
ERR2172620	216486	193429	7102
ERR2172623	95261	85697	2951
ERR2172622	174422	157096	5405
ERR2172625	102705	92393	3535
ERR2172624	136438	119974	5732
ERR2172748	61788	57312	1511
ERR2172749	93335	86805	2178
ERR2173299	79834	73035	2122
ERR2173298	5172	1986	654
ERR2173293	9	6	2
ERR2173292	150	131	9
ERR2173291	15269	1115	4823
ERR2173290	155	137	8
ERR2173297	12	8	4
ERR2173296	20	15	2
ERR2173295	5	1	3
ERR2173294	9	6	2
ERR2173042	14014	13057	323
ERR2173043	17531	16141	506
ERR2173040	2	2	0
ERR2173041	7836	7502	127
ERR2173046	1	1	0
ERR2173047	1	0	1
ERR2173044	21985	20375	709
ERR2173045	20932	19600	577
ERR2173048	24769	23087	672
ERR2173049	15489	14364	412
ERR2172558	176797	160755	5702
ERR2172479	374664	326045	18014
ERR2172588	27	23	3
ERR2172593	68292	62123	2114
ERR2173266	7	3	3
ERR2173267	8	5	2
ERR2173264	8810	7632	368
ERR2173265	7	3	4
ERR2173262	6360	1242	4119
ERR2173263	6065	5278	474
ERR2173260	2871	62	2116
ERR2173261	8193	7124	348
ERR2173065	13576	12657	381
ERR2173268	5	0	5
ERR2173269	6729	255	2154
ERR2172957	14331	13549	241
ERR2172956	11	7	1
ERR2172955	28548	20500	4870
