# OTU	ERR1811006	ERR1811007	ERR1811004	ERR1811005	ERR1811002	ERR1811003	ERR1811000	ERR1811001	ERR1811008	ERR1811009	ERR1810966	ERR1810967	ERR1810964	ERR1810965	ERR1810963	ERR1810968	ERR1810969	ERR1810999	ERR1810998	ERR1810993	ERR1810992	ERR1810991	ERR1810990	ERR1810997	ERR1810996	ERR1810995	ERR1810994	ERR1811015	ERR1811014	ERR1811017	ERR1811016	ERR1811011	ERR1811010	ERR1811013	ERR1811012	ERR1811019	ERR1811018	ERR1810975	ERR1810974	ERR1810977	ERR1810976	ERR1810971	ERR1810970	ERR1810973	ERR1810972	ERR1810979	ERR1810978	ERR1811088	ERR1811089	ERR1811086	ERR1811087	ERR1811084	ERR1811085	ERR1811082	ERR1811083	ERR1811080	ERR1811081	ERR1811099	ERR1811098	ERR1811095	ERR1811094	ERR1811097	ERR1811096	ERR1811091	ERR1811090	ERR1811093	ERR1811092	ERR1811028	ERR1811029	ERR1811020	ERR1811021	ERR1811022	ERR1811023	ERR1811024	ERR1811025	ERR1811026	ERR1811027	ERR1811048	ERR1811049	ERR1811042	ERR1811043	ERR1811040	ERR1811041	ERR1811046	ERR1811047	ERR1811044	ERR1811045	ERR1810980	ERR1810981	ERR1811039	ERR1811038	ERR1811037	ERR1811036	ERR1811035	ERR1811034	ERR1811033	ERR1811032	ERR1811031	ERR1811030	ERR1811059	ERR1811058	ERR1811051	ERR1811050	ERR1811053	ERR1811052	ERR1811055	ERR1811054	ERR1811057	ERR1811056	ERR1810988	ERR1810989	ERR1810984	ERR1810985	ERR1810986	ERR1810987	ERR1811068	ERR1811069	ERR1810982	ERR1810983	ERR1811064	ERR1811065	ERR1811066	ERR1811067	ERR1811060	ERR1811061	ERR1811062	ERR1811063	ERR1811073	ERR1811072	ERR1811071	ERR1811070	ERR1811077	ERR1811076	ERR1811075	ERR1811074	ERR1811079	ERR1811078	ERR1811100	taxonomy
234951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
310886	3	1	3	0	3	0	3	0	3	0	15	0	0	29	0	0	0	2	3	42	0	1	0	0	0	9	0	1	2	0	0	1	3	0	3	0	0	0	2	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	9	0	0	0	0	0	0	0	0	0	0	4	0	6	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	6	0	3	0	7	0	4	8	2	0	0	4	10	20	0	0	1	1	1	5	4	0	0	0	4	9	7	0	0	0	0	3	0	47	0	0	0	1	1	0	4	0	48	0	1	0	14	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
531374	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	5	10	0	0	0	1	5	0	0	0	0	0	0	0	0	0	1	31	106	1	0	1	2	3	0	0	16	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	71	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	3	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
348065	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	37	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
366584	904	985	82	1	497	887	376	0	916	1	0	1	0	0	0	0	0	1620	261	907	2	701	0	3	398	534	1	363	622	3	172	1560	1140	0	632	467	479	0	459	0	0	1	0	0	0	0	1	1	0	1	0	0	1	3	1	5	365	1	0	95	99	2	48	21	301	0	232	232	0	282	0	135	639	914	1	3331	757	466	0	0	0	1	0	14	1	1	0	54	66	0	0	0	553	1	2882	0	2060	1834	1781	8	1	533	40	243	1	0	233	1088	954	49	196	996	105	0	982	41	474	0	1014	2	0	492	1	459	0	311	0	35	147	0	752	0	60	0	224	0	1	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
975306	2583	743	7317	6	594	8825	4954	8	7456	4	4752	7	4	2184	2	131	1966	1655	6834	706	4	6214	4	6	4898	6114	4	684	5809	2	9923	1246	13407	0	3387	1328	3276	2	1069	2019	1261	6	6180	20	74	2	4136	4449	3	7	1786	8	941	7	50	1380	5291	124	86	171	686	1	1243	1117	4954	322	4728	6170	3	13273	4	623	2034	271	7	706	4187	1156	2	616	5	6	1908	2921	6	1885	556	5858	16144	3826	212	3	7535	11	2400	4	4400	6614	1002	6005	7	4341	980	939	3	6	882	2026	3005	1217	13883	4575	10463	5	470	801	1232	19	2675	46	1	7809	5	2186	7	708	4	3132	4542	7	3058	2	860	1	6143	5	5088	128	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
352304	341	672	835	0	67	883	325	0	936	0	52	0	0	359	0	5	139	41	57	471	0	176	1	1	61	88	0	11	6	0	580	97	378	0	403	40	2037	0	42	163	27	0	1853	2	0	3	9	264	0	1	653	0	139	0	0	231	617	0	0	6	2	0	57	21	10	1	0	431	0	930	0	17	17	8	1	142	153	85	2	0	1	0	0	75	0	207	121	218	164	52	85	0	371	0	544	0	44	252	147	233	0	416	491	218	0	0	9	665	1431	15	1030	95	598	1	105	126	52	0	93	1	1	1035	0	383	125	84	0	6	3	0	394	0	6	0	3	0	19	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
332527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	761	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
4302472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
4388068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	46	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
1008348	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__
1885089	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	26	0	0	17	9	0	7	0	0	20	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	5	0	0	0	1	2	0	19	0	0	0	0	0	0	0	0	7	21	0	9	0	0	0	0	11	33	33	0	0	0	163	0	0	0	0	0	3	1	0	5	3	0	0	2	0	0	0	0	0	41	8	44	0	0	43	0	0	0	0	31	0	0	0	0	26	1	0	0	0	0	0	4	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
539581	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	53	1	0	4	0	3	0	1	8	0	0	9	19	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	480	0	0	0	98	103	0	141	0	0	448	351	23	2	0	0	226	147	12720	77	0	0	2	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	6	10	23	0	0	4	4	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	12	2	1	0	0	0	1	0	0	4	0	1	98	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__dolichum
205241	4	14	2	0	41	37	2	0	4	0	7	0	0	15	0	0	4	21	4	0	0	0	0	0	0	1	0	47	39	0	5	39	6	0	3	5	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	14	5	6	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	5	1	0	2	0	10	0	2	20	22	0	0	3	0	0	0	0	1	7	1	0	1	5	0	0	1	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
319455	1	1	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	1	1	0	0	1	0	0	4	0	0	3	4	0	1	8	3	0	0	7	0	0	0	5	3	0	0	0	0	0	0	2	0	0	0	1	0	0	7	0	0	1	0	1	9	0	1	3	2	0	1	1	0	0	0	5	9	0	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	8	1	1	0	0	0	0	0	0	0	0	1	1	0	2	2	0	0	1	0	0	0	6	0	0	0	0	0	0	6	0	6	11	0	0	0	0	0	1	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
851704	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	9	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	1	0	4	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Parvimonas; s__
296960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	26	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
997439	74	14	1260	3	424	366	1053	1	3638	1	399	0	504	46	0	115	92	3325	4487	3	2132	1179	0	5	5557	1064	77	1602	3488	355	753	1322	4757	1	1330	770	635	0	1	943	3003	96	25	1	3	1	376	1	3	0	2	675	54	4	708	1270	2377	56	1	12	23	1	595	7	2	83	1	3095	8	1883	0	15	1	142	38	11	142	2	1	102	13	2	2	0	3	0	0	216	2874	136	7	0	2809	2	305	5	507	2245	272	39	0	464	5	1	6	19	91	1	23	1164	4763	479	150	0	357	72	227	2054	276	34	8	1691	0	7	1054	1068	383	13	687	5	821	2831	86	1	2809	3	2256	1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
591635	68	43	27	0	48	55	35	0	20	0	17	0	0	15	0	11	60	20	81	0	0	72	0	0	33	18	0	36	28	0	25	65	83	0	53	29	34	0	0	29	10	0	23	0	0	0	12	86	0	3	0	32	54	0	8	10	25	41	52	96	162	0	7	0	0	52	0	8	0	33	0	0	0	0	0	25	32	0	0	26	0	0	4	0	1	9	12	35	31	10	2	0	48	5	18	0	10	42	42	23	0	1	0	0	0	1	0	18	199	8	19	26	43	0	9	13	2	0	13	19	1	61	0	28	12	30	0	21	70	1	63	0	5	0	151	1	85	43	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
768553	0	0	0	3	0	2	0	3	2	706	2	8273	1	3	4	114	0	5	2	4	101	3	4437	2410	0	2	701	0	0	11	4	6	2	7	0	2	3	3	1	2	0	453	5	6334	4	6	2	3	271	1	1	1	0	2419	1	93	3	2	2	0	1	181	1	2	2	0	0	2	339	0	11	3	2	2	272	2	1	2	6	2	749	7	2	0	30	2	3	1	1	0	2	2	5	4	3	5	1	3	1	1	71	0	3	1	65	63	1	0	2	6	3	0	3	340	3	2	2	1	4	3	1	5	12638	0	2	3	466	1	9	7656	1	4	0	6	7	68916	36	3	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus; s__
519880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	4	0	0	0	0	3	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
