# Constructed from biom file
#OTU ID	G22445_stitched
K01365	0.0
K01364	0.0
K01361	0.0
K01360	0.0
K01362	16646.0
K02249	0.0
K05841	1.0
K05844	549.0
K05845	200.0
K05846	4044.0
K05847	3182.0
K00508	1.0
K00500	16.0
K00507	19.0
K00504	0.0
K00505	0.0
K12521	0.0
K01101	1730.0
K01103	547.0
K12520	0.0
K01104	51876.0
K05592	25665.0
K05593	1848.0
K05590	550.0
K05591	42.0
K05596	62.0
K05597	1.0
K05594	24.0
K05595	14264.0
K05599	0.0
K11964	0.0
K11962	0.0
K14540	22579.0
K12529	0.0
K12528	0.0
K06353	0.0
K02456	581.0
K02457	18.0
K02454	1421.0
K02455	311.0
K02452	19.0
K02453	662.0
K02450	16.0
K02103	3726.0
K08138	4212.0
K02108	34839.0
K02109	35831.0
K02458	18.0
K02459	19.0
K08137	25.0
K03851	308.0
K03850	0.0
K03852	35.0
K03855	716.0
K03856	14152.0
K13018	66.0
K13019	1023.0
K13010	3.0
K13011	0.0
K13012	3511.0
K13013	0.0
K13014	25.0
K13015	10.0
K13016	1107.0
K13017	68.0
K08566	24.0
K08567	1451.0
K13274	0.0
K13275	0.0
K13276	0.0
K13277	0.0
K03275	1.0
K03274	1759.0
K03277	0.0
K03276	0.0
K03271	6263.0
K03270	11444.0
K03273	3602.0
K03272	3670.0
K03279	3.0
K03278	0.0
K11022	0.0
K12277	0.0
K12276	1.0
K12270	9934.0
K11058	0.0
K12279	1.0
K12278	1.0
K07557	0.0
K07550	1.0
K07552	4679.0
K06319	0.0
K09909	550.0
K09908	630.0
K12051	0.0
K12050	0.0
K12057	50.0
K12056	50.0
K06221	103.0
K09900	912.0
K09903	32721.0
K09902	551.0
K09904	550.0
K09907	550.0
K09906	551.0
K11501	0.0
K03234	0.0
K00773	32291.0
K00772	1533.0
K00777	1.0
K00776	0.0
K06313	771.0
K06315	0.0
K05574	0.0
K10201	1228.0
K07176	0.0
K07177	186.0
K07174	0.0
K07175	3343.0
K07172	223.0
K07173	27654.0
K07170	8390.0
K07171	43777.0
K07178	16.0
K07179	0.0
K00195	0.0
K00194	1036.0
K00197	1046.0
K00196	0.0
K00191	0.0
K00190	35.0
K00193	0.0
K00192	0.0
K00198	5784.0
K06405	21474.0
K10109	11986.0
K10108	24107.0
K10107	353.0
K01828	31.0
K01829	0.0
K01826	19.0
K01825	105.0
K01822	538.0
K01823	1030.0
K01820	284.0
K01821	1487.0
K00999	0.0
K00998	28002.0
K00995	30352.0
K00997	6480.0
K00996	1016.0
K00991	36345.0
K00990	985.0
K00992	0.0
K11028	0.0
K02622	10574.0
K02625	0.0
K03564	26692.0
K13489	0.0
K13488	0.0
K13483	0.0
K13482	39.0
K13481	39.0
K13480	273.0
K13487	0.0
K13486	0.0
K14680	0.0
K14681	0.0
K14682	189.0
K08358	14.0
K08357	14.0
K08356	0.0
K08355	0.0
K03469	31895.0
K03462	0.0
K03464	0.0
K03465	12890.0
K03466	31294.0
K01648	0.0
K01649	30239.0
K01643	3267.0
K01640	144.0
K01641	204.0
K01646	1189.0
K01647	29143.0
K01644	4617.0
K02597	25.0
K02626	57.0
K02595	1.0
K02594	820.0
K02593	24.0
K02592	778.0
K02591	1591.0
K02590	1679.0
K02598	1715.0
K02849	439.0
K14061	4.0
K14062	1.0
K14063	0.0
K14064	0.0
K14065	0.0
K14067	0.0
K02841	960.0
K02840	24.0
K02843	3229.0
K02844	302.0
K02847	25.0
K02846	24.0
K02102	692.0
K09758	3895.0
K06039	527.0
K06034	0.0
K06036	16.0
K06037	0.0
K06032	0.0
K01581	2164.0
K02702	0.0
K02659	18.0
K13490	0.0
K13491	0.0
K03644	5874.0
K03645	550.0
K03646	1172.0
K03647	670.0
K03640	5759.0
K03641	1175.0
K03642	4754.0
K03643	1005.0
K03648	29516.0
K03649	102.0
K06694	0.0
K11814	0.0
K12428	4.0
K12429	0.0
K12422	0.0
K12423	0.0
K12420	0.0
K12421	0.0
K12426	0.0
K12427	0.0
K12424	0.0
K12425	0.0
K07349	3.0
K07348	1.0
K05380	0.0
K07345	9.0
K07344	274.0
K07347	152.0
K07346	148.0
K07341	1157.0
K07340	824.0
K07343	1708.0
K07342	0.0
K06968	824.0
K06969	48440.0
K06962	882.0
K06963	0.0
K06960	22759.0
K06961	0.0
K06966	15747.0
K06967	22464.0
K06964	0.0
K06965	0.0
K08995	17.0
K08994	28.0
K08997	25.0
