sample	run
SRS870277	SRR1873599
SRS870282	SRR1873605
SRS870292	SRR1873611
SRS870295	SRR1873614
SRS870306	SRR1873623
SRS870330	SRR1915585
SRS870330	SRR1873644
SRS870331	SRR1873647
SRS870339	SRR1873657
SRS870361	SRR1873683
SRS870364	SRR1873681
SRS870391	SRR1873706
SRS870673	SRR1909623
SRS870676	SRR1909636
SRS870677	SRR1909619
SRS870678	SRR1909618
SRS870679	SRR1908851
SRS870680	SRR1909073
SRS870681	SRR1908854
SRS870683	SRR1908855
SRS870684	SRR1908856
SRS870686	SRR1915818
SRS870686	SRR1908857
SRS870687	SRR1915810
SRS870687	SRR1908858
SRS870688	SRR1908859
SRS870695	SRR1908904
SRS870695	SRR1915812
SRS870696	SRR1908891
SRS870699	SRR1908865
SRS870704	SRR1908872
SRS870706	SRR1908869
SRS870707	SRR1908871
SRS870711	SRR1908873
SRS870712	SRR1908878
SRS870719	SRR1908884
SRS870721	SRR1909080
SRS870723	SRR1908885
SRS870726	SRR1909111
SRS870728	SRR1909082
SRS870729	SRR1909084
SRS870732	SRR1908886
SRS870733	SRR1908888
SRS870734	SRR1908887
SRS870735	SRR1908894
SRS870737	SRR1908893
SRS870737	SRR1947188
SRS870738	SRR1908890
SRS870739	SRR1908895
SRS870740	SRR1908897
SRS870741	SRR1908896
SRS870742	SRR1908900
SRS870745	SRR1908899
SRS870747	SRR1908902
SRS870748	SRR1915820
SRS870748	SRR1908907
SRS870749	SRR1909112
SRS870751	SRR1908906
SRS870753	SRR1909109
SRS870756	SRR1908910
SRS870757	SRR1908909
SRS870758	SRR1908911
SRS870759	SRR1909114
SRS870761	SRR1908912
SRS870763	SRR1908914
SRS870764	SRR1908915
SRS870775	SRR1908930
SRS870777	SRR1909117
SRS871031	SRR1909182
SRS871037	SRR1909188
SRS871043	SRR1909197
SRS871046	SRR1909200
SRS871059	SRR1909213
SRS871061	SRR1909215
SRS871078	SRR1909230
SRS871080	SRR1909453
SRS871090	SRR1909238
SRS871095	SRR1909255
SRS871099	SRR1909244
SRS871102	SRR1909248
SRS871104	SRR1909246
SRS871108	SRR1909268
SRS871113	SRR1909257
SRS871126	SRR1909275
SRS871127	SRR1909274
SRS871135	SRR1909290
SRS871138	SRR1909283
SRS871142	SRR1909285
SRS871148	SRR1909277
SRS871151	SRR1909282
SRS871162	SRR1909296
SRS871182	SRR1909303
SRS871189	SRR1909307
SRS871191	SRR1909310
SRS871195	SRR1909318
SRS871203	SRR1909326
SRS871215	SRR1909341
SRS871216	SRR1909468
SRS871222	SRR1909370
SRS871226	SRR1909329
SRS871229	SRR1909372
SRS871231	SRR1909375
SRS871237	SRR1909350
SRS871244	SRR1909355
SRS871251	SRR1909419
SRS871252	SRR1909423
SRS871261	SRR1909431
SRS871264	SRR1909377
SRS871267	SRR1909381
SRS871469	SRR1909620
SRS871470	SRR1908852
SRS872082	SRR1910294
SRS872164	SRR1910395
SRS886860	SRR1945169
SRS886941	SRR1945322
SRS888688	SRR1946832
SRS888910	SRR1947045
SRS888911	SRR1947044
SRS888913	SRR1947047
SRS888915	SRR1947050
SRS888917	SRR1947048
SRS888918	SRR1947053
SRS888919	SRR1947051
SRS888921	SRR1947056
