# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
1070_H_p33_f93	2959	2385	80
1070_H_p43_f42	883	106	0
1070_H_p12_f22	3363	2588	151
1070_CCD_p31_f41	787	485	1
1070_H_p16_i35	3053	2260	46
1070_CCD_p34_f67	2472	2070	35
1070_ICD_p21_f88	2201	1560	179
1070_H_p13_f25	583	405	5
1070_ICD_p22_f39	1434	1155	20
1070_H_p21_f101	2933	2078	228
1070_UC_p39_f104	338	246	0
1070_H_p14_b27	3010	2396	45
1070_UC_p41_f102	3030	2289	91
1070_ICD_p10_f21	2133	1559	12
1070_ICD_p15_f30	2563	1935	25
1070_H_p41_f87	3461	3361	0
1070_H_p19_f70	2742	2299	40
1070_CCD_p11_f19	1485	1183	15
1070_H_p16_dc35	3300	2726	52
1070_CCD_p9_f20	1754	1256	21
1070_H_p14_f27	654	468	19
1070_ICD_p15_f29	2701	1973	60
1070_CCD_p14_b28	3652	2881	124
1070_ICD_p15_i29	3362	3105	12
1070_H_p35_f78	1913	1594	68
1070_UC_p44_f54	681	490	0
1070_H_p29_f48	2887	2298	55
1070_H_p39_f105	655	464	7
1070_CCD_p12_dc23	1946	1462	86
1070_UC_p40_f73	2659	1896	98
1070_CCD_p12_f23	3597	3226	24
1070_ICD_p10_dc18	2439	1956	44
1070_CCD_p14_f28	643	509	0
1070_H_p18_i36	3334	2610	46
1070_H_p42_f79	2557	2389	0
1070_H_p18_dc36	2784	2464	45
1070_H_p12_dc22	2173	1809	26
1070_H_p25_f58	2572	2183	20
1070_UC_p25_f115	2431	1596	42
1070_H_p11_dc26	1757	1591	27
1070_ICD_p15_i30	3497	3002	45
1070_CCD_p13_a24	3097	2443	120
1070_UC_p42_f76	3295	2277	427
1070_H_p1_f8	2346	1963	80
1070_H_p1_f1	817	673	5
1070_H_p13_a25	2895	2498	9
1070_CCD_p11_i19	2270	1732	54
1070_CCD_p14_i28	2783	2485	19
1070_ICD_p10_i21	2623	2401	12
1070_H_p30_f85	1508	1178	26
1070_uiCD_p32_f91	2296	1863	16
1070_H_p38_f63	1689	1482	18
1070_UC_p19_f82	2842	2366	64
1070_H_p11_i26	2496	2311	21
1070_CCD_p13_dc24	1748	1264	22
1070_H_p34_f75	2847	2098	48
1070_H_p28_f55	2227	1842	25
1070_ICD_p22_f116	1955	1617	25
1070_ICD_p10_f18	1568	1208	15
1070_H_p18_f36	2576	2307	28
1070_UC_p26_f44	2536	2003	50
1070_CCD_p36_f114	672	497	1
1070_H_p36_f89	275	224	2
1070_H_p26_f94	2361	1932	40
1070_ICD_p10_i18	1980	956	632
1070_H_p32_f98	2051	1580	24
1070_CCD_p11_dc19	2176	1719	59
1070_CCD_p17_i32	2594	2077	39
1070_CCD_p17_i34	3401	2895	46
1070_H_p31_f61	822	576	2
1070_H_p24_f68	1456	1150	91
1070_CCD_p13_f24	1849	1429	20
1070_ICD_p29_f110	3204	2543	50
1070_ICD_p28_f53	2179	1630	23
1070_ICD_p18_dc33	2989	2755	19
1070_H_p13_b25	2809	1717	176
1070_ICD_p16_i31	2480	2100	1
1070_UC_p20_f43	1549	1197	39
1070_UC_p20_f40	619	518	8
1070_CCD_p17_f32	2656	1842	104
1070_UC_p37_f52	3009	2618	23
1070_CCD_p17_f34	2239	1607	36
1070_ICD_p10_dc21	1351	985	20
1070_CCD_p14_dc28	1934	1401	107
1070_ICD_p27_f64	2512	2193	58
1070_H_p13_dc25	3286	2889	0
1070_UC_p24_f77	1214	1034	22
1070_H_p11_f26	611	411	33
1070_ICCD_p30_f57	850	687	12
1070_ICD_p33_f83	3704	3322	149
1070_ICD_p23_f112	1397	1143	22
1070_ICD_p18_f33	2295	1796	85
1070_UC_p46_f71	898	615	13
1070_H_p45_f80	1008	883	5
1070_CCD_p17_dc34	2345	2065	9
1070_UC_p38_f38	1701	1562	0
1070_UC_p45_f66	2007	1336	18
1070_CCD_p9_f17	956	851	6
1070_H_p6_f11	2220	1872	25
1070_H_p6_f12	2710	2508	4
1070_H_p11_b26	3015	1956	50
1070_UC_p43_f51	763	28	0
1070_ICD_p18_i33	2802	2487	7
1070_ICD_p23_f100	1045	857	9
1070_H_p46_f69	866	649	13
1070_H_p44_f86	2308	1514	33
1070_H_p14_i27	921	865	0
1070_H_p37_f113	2922	2649	5
1070_H_p14_dc27	2214	2029	28
1070_H_p40_f81	2359	2112	13
1070_CCD_p35_f72	1805	1579	11
1070_ICD_p16_f31	3609	3337	6
1070_H_p27_f103	3093	2794	24
1070_H_p16_f35	2661	2134	104
