study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB23009	SAMEA104347964	ERS1972942	ERX2228798	ERR2172355	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2172355/ERR2172355.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2172355/ERR2172355.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/005/ERR2172355	ftp.sra.ebi.ac.uk/vol1/err/ERR217/005/ERR2172355		
PRJEB23009	SAMEA104347965	ERS1972943	ERX2228799	ERR2172356	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2172356/ERR2172356.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2172356/ERR2172356.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000006.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000006.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/006/ERR2172356	ftp.sra.ebi.ac.uk/vol1/err/ERR217/006/ERR2172356		
PRJEB23009	SAMEA104347966	ERS1972944	ERX2228800	ERR2172357	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2172357/ERR2172357.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2172357/ERR2172357.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000007.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000007.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/007/ERR2172357	ftp.sra.ebi.ac.uk/vol1/err/ERR217/007/ERR2172357		
PRJEB23009	SAMEA104347967	ERS1972945	ERX2228801	ERR2172358	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2172358/ERR2172358.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2172358/ERR2172358.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000015.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000015.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/008/ERR2172358	ftp.sra.ebi.ac.uk/vol1/err/ERR217/008/ERR2172358		
PRJEB23009	SAMEA104347968	ERS1972946	ERX2228802	ERR2172359	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2172359/ERR2172359.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2172359/ERR2172359.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000016.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000016.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/009/ERR2172359	ftp.sra.ebi.ac.uk/vol1/err/ERR217/009/ERR2172359		
PRJEB23009	SAMEA104347969	ERS1972947	ERX2228803	ERR2172360	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2172360/ERR2172360.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2172360/ERR2172360.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000017.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000017.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/000/ERR2172360	ftp.sra.ebi.ac.uk/vol1/err/ERR217/000/ERR2172360		
PRJEB23009	SAMEA104347970	ERS1972948	ERX2228804	ERR2172361	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2172361/ERR2172361.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2172361/ERR2172361.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000018.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000018.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/001/ERR2172361	ftp.sra.ebi.ac.uk/vol1/err/ERR217/001/ERR2172361		
PRJEB23009	SAMEA104347971	ERS1972949	ERX2228805	ERR2172362	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/002/ERR2172362/ERR2172362.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/002/ERR2172362/ERR2172362.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000019.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000019.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/002/ERR2172362	ftp.sra.ebi.ac.uk/vol1/err/ERR217/002/ERR2172362		
PRJEB23009	SAMEA104347972	ERS1972950	ERX2228806	ERR2172363	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2172363/ERR2172363.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2172363/ERR2172363.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000020.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000020.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/003/ERR2172363	ftp.sra.ebi.ac.uk/vol1/err/ERR217/003/ERR2172363		
PRJEB23009	SAMEA104347973	ERS1972951	ERX2228807	ERR2172364	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2172364/ERR2172364.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2172364/ERR2172364.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000021.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000021.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/004/ERR2172364	ftp.sra.ebi.ac.uk/vol1/err/ERR217/004/ERR2172364		
