sample_name	sample_accession
2538.1000936	ERS1973221
2538.1003206	ERS1973652
2538.1003207	ERS1973653
2538.1003204	ERS1973650
2538.1003205	ERS1973651
2538.1002331	ERS1973554
2538.1002330	ERS1973553
2538.1003208	ERS1973654
2538.1001113	ERS1973308
2538.1001121	ERS1973314
2538.1001123	ERS1973316
2538.1001122	ERS1973315
2538.1002722	ERS1973633
2538.1002720	ERS1973632
2538.1003527	ERS1973736
2538.1002726	ERS1973635
2538.1002724	ERS1973634
2538.1000303	ERS1973013
2538.1002729	None
2538.1000306	ERS1973015
2538.1000307	ERS1973016
2538.1000304	ERS1973014
2538.1001128	ERS1973321
2538.1000733	ERS1973127
2538.1000809	ERS1973135
2538.1000731	ERS1973125
2538.1000730	ERS1973124
2538.1000735	ERS1973129
2538.1000808	ERS1973134
2538.BLANK4.F	ERS1973868
2538.1000739	ERS1973131
2538.1000738	ERS1973130
2538.1001125	ERS1973318
2538.1002009	ERS1973476
2538.1003330	ERS1973698
2538.1003331	ERS1973699
2538.BLANK23	ERS1973836
2538.1001127	ERS1973320
2538.1001126	ERS1973319
2538.1003119	ERS1973641
2538.1000120	ERS1972972
2538.1003115	ERS1973640
2538.1003112	ERS1973639
2538.1001506	ERS1973444
2538.1001019	ERS1973262
2538.1001018	ERS1973261
2538.1003525	ERS1973735
2538.1002426	ERS1973578
2538.1002421	ERS1973573
2538.1002420	ERS1973572
2538.1002423	ERS1973575
2538.1003520	ERS1973730
2538.1001011	ERS1973254
2538.1001010	ERS1973253
2538.1001013	ERS1973256
2538.1001012	ERS1973255
2538.1002429	ERS1973580
2538.1002428	ERS1973579
2538.1003529	ERS1973738
2538.1001016	ERS1973259
2538.1000541	ERS1973083
2538.1002414	ERS1973568
2538.1000429	ERS1973050
2538.1000428	ERS1973049
2538.1000427	ERS1973048
2538.1000424	ERS1973047
2538.1000423	ERS1973046
2538.1000422	ERS1973045
2538.1000421	ERS1973044
2538.1000420	ERS1973043
2538.1001009	ERS1973252
2538.1000016	ERS1972946
2538.1000017	ERS1972947
2538.1000015	ERS1972945
2538.BLANK39	ERS1973861
2538.BLANK38	ERS1973860
2538.BLANK37	ERS1973859
2538.BLANK36	ERS1973858
2538.BLANK35	ERS1973857
2538.BLANK34	ERS1973856
2538.BLANK33	ERS1973855
2538.BLANK32	ERS1973854
2538.BLANK31	ERS1973853
2538.BLANK30	ERS1973852
2538.1003609	ERS1973746
2538.1003123	ERS1973642
2538.1001307	ERS1973390
2538.1001306	ERS1973389
2538.1001068	ERS1973299
2538.1001069	ERS1973300
2538.1001064	ERS1973295
2538.1001065	ERS1973296
2538.1001066	ERS1973297
2538.1001067	ERS1973298
2538.1001309	ERS1973392
2538.1001308	ERS1973391
2538.1001063	ERS1973294
2538.1001429	ERS1973435
2538.X	ERS1973886
2538.1002511	ERS1973589
2538.1002510	ERS1973588
2538.1002513	ERS1973591
2538.1002512	ERS1973590
2538.1002517	ERS1973592
2538.1000868	ERS1973182
2538.1000908	ERS1973193
2538.1000866	ERS1973180
2538.1000641	ERS1973106
2538.1000640	ERS1973105
2538.BLANK9	ERS1973885
2538.BLANK8	ERS1973884
2538.BLANK1	ERS1973808
2538.BLANK3	ERS1973843
2538.BLANK2	ERS1973824
2538.BLANK5	ERS1973880
2538.BLANK4	ERS1973862
2538.BLANK7	ERS1973883
2538.BLANK6	ERS1973882
2538.1002612	ERS1973606
2538.1003526	None
2538.1002613	ERS1973607
2538.1000734	ERS1973128
2538.1002611	ERS1973605
2538.1002422	ERS1973574
2538.1000953	ERS1973232
2538.1001161	ERS1973347
2538.1001160	ERS1973346
2538.1002522	ERS1973594
2538.1001162	ERS1973348
2538.BLANK2.A	ERS1973825
2538.1001169	ERS1973349
2538.1002604	ERS1973601
2538.1002607	ERS1973603
2538.1002606	ERS1973602
2538.1003127	ERS1973646
2538.1002602	ERS1973600
2538.1003929	ERS1973802
2538.1003928	ERS1973801
2538.1002412	ERS1973566
2538.1003923	ERS1973797
2538.1003922	ERS1973796
2538.1003921	ERS1973795
2538.1003920	ERS1973794
2538.1003927	ERS1973800
2538.1002618	ERS1973610
2538.1003925	ERS1973799
2538.1003924	ERS1973798
2538.1002523	ERS1973595
2538.1000512	ERS1973064
2538.1003126	ERS1973645
2538.1002327	ERS1973550
2538.1001114	ERS1973309
2538.1002301	ERS1973526
2538.1002302	ERS1973527
2538.1002303	ERS1973528
2538.1002304	ERS1973529
2538.1002305	ERS1973530
2538.1000129	ERS1972981
2538.1002307	ERS1973531
2538.1002308	ERS1973532
2538.1002309	ERS1973533
2538.1001509	ERS1973446
2538.1001508	ERS1973445
2538.1001119	ERS1973313
2538.1000308	ERS1973017
2538.1000203	ERS1972988
2538.1000202	ERS1972987
2538.1003124	ERS1973643
2538.1000740	ERS1973132
2538.1000741	ERS1973133
2538.1000201	ERS1972986
2538.BLANK43	ERS1973874
2538.1002006	ERS1973473
2538.1000206	ERS1972991
2538.1000205	ERS1972990
2538.1003906	ERS1973782
2538.1002628	ERS1973615
2538.1003417	ERS1973701
2538.1003416	ERS1973700
2538.1002101	ERS1973498
2538.1002418	ERS1973570
2538.1002419	ERS1973571
2538.1001438	ERS1973443
2538.1001437	ERS1973442
