study	processed_read_file	read_file_size	processed_otu_table	processed_metadata
BIDMC-FMT	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/BIDMC-FMT_all_samples_concatenated_filtered_truncated.fasta	176M	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/BIDMC-FMT/16s/all_samples_taxonomy_closed_reference.tsv	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/BIDMC-FMT/metadata/metadata.txt
CS-PRISM	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/CS-PRISM_all_samples_concatenated_filtered_truncated.fasta	4.4G	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/CS-PRISM/16s/all_samples_taxonomy_closed_reference.tsv	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/CS-PRISM/metadata/metadata.txt
Herfarth_CCFA_Microbiome_3B_combined	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/Herfarth_CCFA_Microbiome_3B_combined_all_samples_concatenated_filtered_truncated.fasta	6.1G	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/Herfarth_CCFA_Microbiome_3B_combined/16s/all_samples_taxonomy_closed_reference.tsv	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/Herfarth_CCFA_Microbiome_3B_combined/metadata/metadata.txt
HMP2	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/HMP2_all_samples_concatenated_filtered_truncated.fasta	1.2G	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/HMP2/16s/all_samples_taxonomy_closed_reference.tsv	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/HMP2/metadata/metadata.txt
Jansson_Lamendella_Crohns	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/Jansson_Lamendella_Crohns_all_samples_concatenated_filtered_truncated.fasta	15G	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/Jansson_Lamendella_Crohns/16s/all_samples_taxonomy_closed_reference.tsv	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/Jansson_Lamendella_Crohns/metadata/metadata.txt
LSS-PRISM	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/LSS-PRISM_all_samples_concatenated_filtered_truncated.fasta	920M	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/LSS-PRISM/16s/all_samples_taxonomy_closed_reference.tsv	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/LSS-PRISM/metadata/metadata.txt
MucosalIBD	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/MucosalIBD_all_samples_concatenated_filtered_truncated.fasta	5.8G	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/MucosalIBD/16s/all_samples_taxonomy_closed_reference.tsv	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/MucosalIBD/metadata/metadata.txt
Pouchitis	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/Pouchitis_all_samples_concatenated_filtered_truncated.fasta	1.1G	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/Pouchitis/16s/all_samples_taxonomy_closed_reference.tsv	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/Pouchitis/metadata/metadata.txt
PROTECT	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/PROTECT_all_samples_concatenated_filtered_truncated.fasta	15G	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/PROTECT/16s/all_samples_taxonomy_closed_reference.tsv	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/PROTECT/metadata/metadata.txt
RISK	http://huttenhower.sph.harvard.edu/ibd_meta_analysis/RISK_all_samples_concatenated_filtered_truncated.fasta	12G	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/RISK/16s/all_samples_taxonomy_closed_reference.tsv	https://bitbucket.org/biobakery/ibd_meta_analysis/src/master/processed/RISK/metadata/metadata.txt
